request_id,timestamp,latency_sec,http_status,outcome
0,01:09:38.334649,2.008,0,failed
1,01:09:38.335425,2.0089,0,failed
2,01:09:38.335966,2.0095,0,failed
3,01:09:38.336522,2.01,0,failed
4,01:09:38.354534,2.0282,0,failed
5,01:09:38.354737,2.0285,0,failed
6,01:09:38.354930,2.0287,0,failed
7,01:09:38.355140,2.0288,0,failed
8,01:09:38.355364,2.029,0,failed
9,01:09:38.355556,2.0292,0,failed
10,01:09:38.355743,2.0294,0,failed
11,01:09:38.355908,2.0295,0,failed
12,01:09:38.356089,2.0297,0,failed
13,01:09:38.356261,2.0299,0,failed
14,01:09:38.356439,2.03,0,failed
15,01:09:38.356626,2.0301,0,failed
16,01:09:38.356811,2.0302,0,failed
17,01:09:38.357075,2.0304,0,failed
18,01:09:38.357258,2.0307,0,failed
19,01:09:38.357441,2.0308,0,failed
20,01:09:38.357616,2.031,0,failed
21,01:09:38.357913,2.0312,0,failed
22,01:09:38.358143,2.0315,0,failed
23,01:09:38.358369,2.0317,0,failed
24,01:09:38.358533,2.0318,0,failed
25,01:09:38.358766,2.032,0,failed
26,01:09:38.358991,2.0322,0,failed
27,01:09:38.359206,2.0322,0,failed
28,01:09:38.359444,2.0324,0,failed
29,01:09:38.359607,2.0326,0,failed
30,01:09:38.359829,2.0328,0,failed
31,01:09:38.359962,2.0329,0,failed
32,01:09:38.360070,2.033,0,failed
33,01:09:38.360188,2.0331,0,failed
34,01:09:38.360302,2.0332,0,failed
35,01:09:38.360433,2.0333,0,failed
36,01:09:38.360641,2.0335,0,failed
37,01:09:38.360878,2.0337,0,failed
38,01:09:38.361081,2.0339,0,failed
39,01:09:38.361327,2.0341,0,failed
40,01:09:38.361453,2.0343,0,failed
41,01:09:38.361694,2.0344,0,failed
42,01:09:38.361941,2.0347,0,failed
43,01:09:38.362149,2.0349,0,failed
44,01:09:38.362323,2.0351,0,failed
45,01:09:38.362480,2.0352,0,failed
46,01:09:38.362678,2.0354,0,failed
47,01:09:38.362843,2.0355,0,failed
48,01:09:38.362968,2.0357,0,failed
49,01:09:38.363149,2.0358,0,failed
50,01:09:38.363253,2.0358,0,failed
51,01:09:38.363344,2.0359,0,failed
52,01:09:38.363477,2.036,0,failed
53,01:09:38.363616,2.0361,0,failed
54,01:09:38.363739,2.0362,0,failed
55,01:09:38.363828,2.0363,0,failed
56,01:09:38.363913,2.0364,0,failed
57,01:09:38.364006,2.0365,0,failed
58,01:09:38.379183,2.0516,0,failed
59,01:09:38.379311,2.0517,0,failed
60,01:09:38.379412,2.0518,0,failed
61,01:09:38.379510,2.0519,0,failed
62,01:09:38.379609,2.052,0,failed
63,01:09:38.379765,2.0521,0,failed
64,01:09:38.379858,2.0522,0,failed
65,01:09:38.379942,2.0523,0,failed
66,01:09:38.380025,2.0523,0,failed
67,01:09:38.380133,2.0524,0,failed
68,01:09:38.380224,2.0525,0,failed
69,01:09:38.380309,2.0526,0,failed
70,01:09:38.380389,2.0526,0,failed
71,01:09:38.380478,2.0527,0,failed
72,01:09:38.380574,2.0528,0,failed
73,01:09:38.380750,2.0527,0,failed
74,01:09:38.380822,2.0528,0,failed
75,01:09:38.380903,2.0529,0,failed
76,01:09:38.380981,2.0529,0,failed
77,01:09:38.381086,2.053,0,failed
78,01:09:38.381167,2.0531,0,failed
79,01:09:38.381260,2.0532,0,failed
80,01:09:38.381348,2.0532,0,failed
81,01:09:38.381432,2.0533,0,failed
82,01:09:38.381510,2.0534,0,failed
83,01:09:38.381593,2.0534,0,failed
84,01:09:38.381681,2.0535,0,failed
85,01:09:38.381772,2.0536,0,failed
86,01:09:38.381857,2.0536,0,failed
87,01:09:38.381946,2.0536,0,failed
88,01:09:38.382034,2.0537,0,failed
89,01:09:38.382111,2.0538,0,failed
90,01:09:38.382188,2.0538,0,failed
91,01:09:38.382269,2.0539,0,failed
92,01:09:38.382341,2.0539,0,failed
93,01:09:38.382424,2.054,0,failed
94,01:09:38.382505,2.0541,0,failed
95,01:09:38.382586,2.0541,0,failed
96,01:09:38.382683,2.054,0,failed
97,01:09:38.382757,2.0541,0,failed
98,01:09:38.382832,2.0542,0,failed
99,01:09:38.382909,2.0542,0,failed
